project,branch,bug_report
accumulo,bugs-dot-jar_ACCUMULO-1312_d9ab8449,"{'BugID': 'ACCUMULO-1312', 'Summary': ""Don't cache credentials in client-side Connector"", 'Description': 'AuthenticationToken objects are Destroyable. However, this cannot be exercised properly in the client code, because the Connector immediately serializes the credentials and stores them as long as the Connector lives.\n\nIt should be possible to destroy a token after creating a Connector, and thereby forcing any further RPC calls initiated by that Connector to fail to authenticate. This means that serialization on the client side to a TCredentials object needs to occur just before the RPC call.\n'}"
accumulo,bugs-dot-jar_ACCUMULO-1348_6ff92b12,"{'BugID': 'ACCUMULO-1348', 'Summary': ""Accumulo Shell does not respect 'exit' when executing file"", 'Description': 'If there is an {{exit}} statement in the file given via {{accumulo shell -f file}}, the execution seems to skip it and go on to the next command instead of terminating.\n\nTo recreate:\n{noformat}\n[mike@home ~] cat bug.accumulo\nexit\nscan -np -t !METADATA\n[mike@home ~] bin/accumulo shell -f /home/mike/bug.accumulo\n{noformat}\n\nExpected output: None\nActual output: A full scan of the !METADATA'}"
accumulo,bugs-dot-jar_ACCUMULO-1348_ef0f6ddc,"{'BugID': 'ACCUMULO-1348', 'Summary': ""Accumulo Shell does not respect 'exit' when executing file"", 'Description': 'If there is an {{exit}} statement in the file given via {{accumulo shell -f file}}, the execution seems to skip it and go on to the next command instead of terminating.\n\nTo recreate:\n{noformat}\n[mike@home ~] cat bug.accumulo\nexit\nscan -np -t !METADATA\n[mike@home ~] bin/accumulo shell -f /home/mike/bug.accumulo\n{noformat}\n\nExpected output: None\nActual output: A full scan of the !METADATA'}"
accumulo,bugs-dot-jar_ACCUMULO-1358_4d10c92f,"{'BugID': 'ACCUMULO-1358', 'Summary': ""Shell's setiter is not informative when using a bad class name"", 'Description': ""In the shell, I did setiter using a class that wasn't found. Rather then a message about it not being found, I just get told that I have an invalid argument. Even turning on debug, I had to use the stack trace to figure out why it was erroring.""}"
accumulo,bugs-dot-jar_ACCUMULO-1358_6c565dfb,"{'BugID': 'ACCUMULO-1358', 'Summary': ""Shell's setiter is not informative when using a bad class name"", 'Description': ""In the shell, I did setiter using a class that wasn't found. Rather then a message about it not being found, I just get told that I have an invalid argument. Even turning on debug, I had to use the stack trace to figure out why it was erroring.""}"
accumulo,bugs-dot-jar_ACCUMULO-1505_994df698,"{'BugID': 'ACCUMULO-1505', 'Summary': ""MockTable's addMutation does not check for empty mutation"", 'Description': 'When calling addMutation or addMutations on a MockBatchWriter, the updates stored in the mutation are iterated over then committed in the MockTable class. \n\nWhen this occurs in the TabletServerBatchWriter (eventually called from the BatchWriterImpl), however, the mutation size is first checked and if the mutation size is 0, an IllegalArgumentException is thrown.\n\nIn practice, if you have code that tries to submit an empty mutation to a BatchWriter, it will fail and throw an exception in the real world, but this will not be caught in tests against MockAccumulo.'}"
accumulo,bugs-dot-jar_ACCUMULO-1505_b082fc1e,"{'BugID': 'ACCUMULO-1505', 'Summary': ""MockTable's addMutation does not check for empty mutation"", 'Description': 'When calling addMutation or addMutations on a MockBatchWriter, the updates stored in the mutation are iterated over then committed in the MockTable class. \n\nWhen this occurs in the TabletServerBatchWriter (eventually called from the BatchWriterImpl), however, the mutation size is first checked and if the mutation size is 0, an IllegalArgumentException is thrown.\n\nIn practice, if you have code that tries to submit an empty mutation to a BatchWriter, it will fail and throw an exception in the real world, but this will not be caught in tests against MockAccumulo.'}"
accumulo,bugs-dot-jar_ACCUMULO-1514_fb25913c,"{'BugID': 'ACCUMULO-1514', 'Summary': 'AccumuloVFSClassloader incorrectly treats folders as folders of jar files', 'Description': 'Specifying a directory of classes is incorrectly interpreted as a directory of jars in the general.dynamic.classpaths configuration property.\n\nExample: adding a path such as *_$ACCUMULO_HOME/core/target/classes_* gets incorrectly interpreted as *_$ACCUMULO_HOME/core/target/classes/\\*_* and evaluates to *_$ACCUMULO_HOME/core/target/classes/org_* and *_$ACCUMULO_HOME/core/target/classes/META-INF_*, but *NOT* to *_$ACCUMULO_HOME/core/target/classes_* as expected.\n'}"
accumulo,bugs-dot-jar_ACCUMULO-1518_dc95cb69,"{'BugID': 'ACCUMULO-1518', 'Summary': 'FileOperations expects RFile filenames to contain only 1 dot.', 'Description': 'If I attempt to create or read an RFile that contains more than 1 dot in the filename, FileOperations throws an IllegalArgumentException(""File name "" + name + "" has no extension"").\nPlease allow creation/import of RFiles that have more than 1 dot in the filename.'}"
accumulo,bugs-dot-jar_ACCUMULO-1518_df4b1985,"{'BugID': 'ACCUMULO-1518', 'Summary': 'FileOperations expects RFile filenames to contain only 1 dot.', 'Description': 'If I attempt to create or read an RFile that contains more than 1 dot in the filename, FileOperations throws an IllegalArgumentException(""File name "" + name + "" has no extension"").\nPlease allow creation/import of RFiles that have more than 1 dot in the filename.'}"
accumulo,bugs-dot-jar_ACCUMULO-151_b007b22e,"{'BugID': 'ACCUMULO-151', 'Summary': 'Combiner default behavior is dangerous', 'Description': 'Currently if the users does not give the combiner any columns to work against, it will work against all columns.  This is dangerous, if a user accidentally forgets to specify columns then their data could be unintentionally corrupted.  Something different needs to be done.  \n\nAlso classes that extend combiner should call super.validateOptions(). '}"
accumulo,bugs-dot-jar_ACCUMULO-1544_0cf2ff72,"{'BugID': 'ACCUMULO-1544', 'Summary': 'Remove username from initialization', 'Description': ""This is an artifact from a brief transition area during the 1.5 development. We have a flag for the user to set what the root username is, except it's never used. We should remove both the variable and the flag for it.""}"
accumulo,bugs-dot-jar_ACCUMULO-1661_13eb19c2,"{'BugID': 'ACCUMULO-1661', 'Summary': 'AccumuloInputFormat cannot fetch empty column family', 'Description': 'The following fails:\n{code:java}\nJob job = new Job();\nHashSet<Pair<Text,Text>> cols = new HashSet<Pair<Text,Text>>();\ncols.add(new Pair<Text,Text>(new Text(""""), null));\nAccumuloInputFormat.fetchColumns(job, cols);\nSet<Pair<Text,Text>> setCols = AccumuloInputFormat.getFetchedColumns(job);\nassertEquals(cols.size(), setCols.size());\n{code}'}"
accumulo,bugs-dot-jar_ACCUMULO-1730_872b6db3,"{'BugID': 'ACCUMULO-1730', 'Summary': 'ColumnVisibility parse tree nodes do not have correct location offsets for AND and OR nodes', 'Description': 'Trying to do some transformations on visibility strings and running into issues working with the parse tree:\n\nClojure 1.5.1\nuser=> (import [org.apache.accumulo.core.security ColumnVisibility])\norg.apache.accumulo.core.security.ColumnVisibility\nuser=> (def vis (ColumnVisibility. ""(W)|(U|V)""))\n#\'user/vis\nuser=> (.getTermStart (first (.getChildren (.getParseTree vis))))\n1\nuser=> (.getTermEnd (first (.getChildren (.getParseTree vis))))\n2\nuser=> (.getTermStart (second (.getChildren (.getParseTree vis))))\n0\nuser=> (.getTermEnd (second (.getChildren (.getParseTree vis))))\n8\n\nShouldn\'t those last two be 5 and 8?'}"
accumulo,bugs-dot-jar_ACCUMULO-1732_941e3cb1,"{'BugID': 'ACCUMULO-1732', 'Summary': 'Resolve table name to table id once in Accumulo input format', 'Description': 'AccumuloInputFormat (and I suspect AccumuloOutputFormat) sends the table name to each mapper.  The mapper uses this table name to create a scanner.  In the case of the following events a map reduce job could read from two different table ids.   \n\n # start M/R job reading table A\n # rename table A (tableId=1) to table C\n # rename table B (tableId=2) to table A\n\nIf the input format passed table id 1 to the mappers, then the renames would not cause a problem.'}"
accumulo,bugs-dot-jar_ACCUMULO-178_2f0643a9,"{'BugID': 'ACCUMULO-178', 'Summary': 'Off-by-one error in FamilyIntersectingIterator', 'Description': ""In the buildDocKey() function within the FamilyIntersectingIterator there is a bug that shortens the docID by 1.  This causes the wrong doc's data to be returned in the results of a query using this Iterator.""}"
accumulo,bugs-dot-jar_ACCUMULO-178_efef09b0,"{'BugID': 'ACCUMULO-178', 'Summary': 'Off-by-one error in FamilyIntersectingIterator', 'Description': ""In the buildDocKey() function within the FamilyIntersectingIterator there is a bug that shortens the docID by 1.  This causes the wrong doc's data to be returned in the results of a query using this Iterator.""}"
accumulo,bugs-dot-jar_ACCUMULO-1800_3143b9c5,"{'BugID': 'ACCUMULO-1800', 'Summary': 'delete mutations not working through the Proxy', 'Description': ""Aru Sahni writes:\n\n{quote}\nI'm new to Accumulo and am still trying to wrap my head around its ways. To further that challenge, I'm using Pyaccumulo, which doesn't present much in terms of available reference material.\n\nRight now I'm trying to understand how Accumulo manages record (key-value pair) deletions.\n\nconn = Accumulo(host, port, user, password)\ntable = 'test_table'\nconn.create_table(table)\nwriter = conn.create_batch_writer(table)\nmut = Mutation('mut_01')\nmut.put(cf='item', cq='name', value='car')\nwriter.add_mutation(mut)\nwriter.close()\nconn.close()\n\nWill generate a record (found via a shell scan):\n\nmut_01 item:name []    car\n\nHowever the subsequent mutation...\n\nwriter = conn.create_batch_writer(table)\nmut = Mutation('mut_01')\nmut.put(cf='item', cq='name', is_delete=True)\nwriter.add_mutation(mut)\nwriter.close()\n\nResults in:\n\nmut_01 item:name []\n\nHow should one expect the deleted row to be represented? That record sticks around even after I force a compaction of the table.  I was expecting it to not show up in any iterators, or at least provide an easy way to see if the cell has been deleted.\n{quote}\n\n[~ecn] has confirmed the problem.\n""}"
accumulo,bugs-dot-jar_ACCUMULO-1800_8ec4cb84,"{'BugID': 'ACCUMULO-1800', 'Summary': 'delete mutations not working through the Proxy', 'Description': ""Aru Sahni writes:\n\n{quote}\nI'm new to Accumulo and am still trying to wrap my head around its ways. To further that challenge, I'm using Pyaccumulo, which doesn't present much in terms of available reference material.\n\nRight now I'm trying to understand how Accumulo manages record (key-value pair) deletions.\n\nconn = Accumulo(host, port, user, password)\ntable = 'test_table'\nconn.create_table(table)\nwriter = conn.create_batch_writer(table)\nmut = Mutation('mut_01')\nmut.put(cf='item', cq='name', value='car')\nwriter.add_mutation(mut)\nwriter.close()\nconn.close()\n\nWill generate a record (found via a shell scan):\n\nmut_01 item:name []    car\n\nHowever the subsequent mutation...\n\nwriter = conn.create_batch_writer(table)\nmut = Mutation('mut_01')\nmut.put(cf='item', cq='name', is_delete=True)\nwriter.add_mutation(mut)\nwriter.close()\n\nResults in:\n\nmut_01 item:name []\n\nHow should one expect the deleted row to be represented? That record sticks around even after I force a compaction of the table.  I was expecting it to not show up in any iterators, or at least provide an easy way to see if the cell has been deleted.\n{quote}\n\n[~ecn] has confirmed the problem.\n""}"
accumulo,bugs-dot-jar_ACCUMULO-189_6dbbdc21,"{'BugID': 'ACCUMULO-189', 'Summary': 'RegExFilter deepCopy NullPointerException', 'Description': 'If any of the regex matcher objects are null (i.e. for example, if you only specify a regex for the column family), the deepCopy call will throw a NullPointerException.\n'}"
accumulo,bugs-dot-jar_ACCUMULO-189_cd7feb4d,"{'BugID': 'ACCUMULO-189', 'Summary': 'RegExFilter deepCopy NullPointerException', 'Description': 'If any of the regex matcher objects are null (i.e. for example, if you only specify a regex for the column family), the deepCopy call will throw a NullPointerException.\n'}"
accumulo,bugs-dot-jar_ACCUMULO-193_8ad5a888,"{'BugID': 'ACCUMULO-193', 'Summary': 'key.followingKey(PartialKey.ROW_COLFAM_COLQUAL_COLVIS) can produce a key with an invalid COLVIS', 'Description': 'Need a new algorithm for calculating the next biggest column visibility, because tagging \\0 to the end creates an invalid column visibility. We might be able to minimize the timestamp for this (i.e. set timestamp to Long.MIN_VALUE, but keep column and row elements the same).'}"
accumulo,bugs-dot-jar_ACCUMULO-193_c831e44d,"{'BugID': 'ACCUMULO-193', 'Summary': 'key.followingKey(PartialKey.ROW_COLFAM_COLQUAL_COLVIS) can produce a key with an invalid COLVIS', 'Description': 'Need a new algorithm for calculating the next biggest column visibility, because tagging \\0 to the end creates an invalid column visibility. We might be able to minimize the timestamp for this (i.e. set timestamp to Long.MIN_VALUE, but keep column and row elements the same).'}"
accumulo,bugs-dot-jar_ACCUMULO-1986_2d97b875,"{'BugID': 'ACCUMULO-1986', 'Summary': 'Validity checks missing for readFields and Thrift deserialization', 'Description': ""Classes in o.a.a.core.data (and potentially elsewhere) that support construction from a Thrift object and/or population from a {{DataInput}} (via a {{readFields()}} method) often lack data validity checks that the classes' constructors enforce. The missing checks make it possible for an attacker to create invalid objects by manipulating the bytes being read. The situation is analogous to the need to check objects deserialized from their Java serialized form within the {{readObject()}} method.""}"
accumulo,bugs-dot-jar_ACCUMULO-1986_a5e3ed3b,"{'BugID': 'ACCUMULO-1986', 'Summary': 'Validity checks missing for readFields and Thrift deserialization', 'Description': ""Classes in o.a.a.core.data (and potentially elsewhere) that support construction from a Thrift object and/or population from a {{DataInput}} (via a {{readFields()}} method) often lack data validity checks that the classes' constructors enforce. The missing checks make it possible for an attacker to create invalid objects by manipulating the bytes being read. The situation is analogous to the need to check objects deserialized from their Java serialized form within the {{readObject()}} method.""}"
accumulo,bugs-dot-jar_ACCUMULO-1986_adee0f12,"{'BugID': 'ACCUMULO-1986', 'Summary': 'Validity checks missing for readFields and Thrift deserialization', 'Description': ""Classes in o.a.a.core.data (and potentially elsewhere) that support construction from a Thrift object and/or population from a {{DataInput}} (via a {{readFields()}} method) often lack data validity checks that the classes' constructors enforce. The missing checks make it possible for an attacker to create invalid objects by manipulating the bytes being read. The situation is analogous to the need to check objects deserialized from their Java serialized form within the {{readObject()}} method.""}"
accumulo,bugs-dot-jar_ACCUMULO-209_397f86f6,"{'BugID': 'ACCUMULO-209', 'Summary': 'RegExFilter does not properly regex when using multi-byte characters', 'Description': 'The current RegExFilter class uses a ByteArrayBackedCharSequence to set the data to match against. The ByteArrayBackedCharSequence contains a line of code that prevents the matcher from properly matching multi-byte characters.\n\nLine 49 of ByteArrayBackedCharSequence.java is:\nreturn (char) (0xff & data[offset + index]);                                                                                              \n\nThis incorrectly casts a single byte from the byte array to a char, which is 2 bytes in Java. This prevents the RegExFilter from properly performing Regular Expressions on multi-byte character encoded values.\n\nA patch for the RegExFilter.java file has been created and will be submitted.'}"
accumulo,bugs-dot-jar_ACCUMULO-209_76d727f0,"{'BugID': 'ACCUMULO-209', 'Summary': 'RegExFilter does not properly regex when using multi-byte characters', 'Description': 'The current RegExFilter class uses a ByteArrayBackedCharSequence to set the data to match against. The ByteArrayBackedCharSequence contains a line of code that prevents the matcher from properly matching multi-byte characters.\n\nLine 49 of ByteArrayBackedCharSequence.java is:\nreturn (char) (0xff & data[offset + index]);                                                                                              \n\nThis incorrectly casts a single byte from the byte array to a char, which is 2 bytes in Java. This prevents the RegExFilter from properly performing Regular Expressions on multi-byte character encoded values.\n\nA patch for the RegExFilter.java file has been created and will be submitted.'}"
accumulo,bugs-dot-jar_ACCUMULO-217_46f62443,"{'BugID': 'ACCUMULO-217', 'Summary': ""MockAccumulo doesn't throw informative errors"", 'Description': 'Users are unable to tell if an error has occurred and whether it is due to unimplemented features in MockAccumulo.'}"
accumulo,bugs-dot-jar_ACCUMULO-217_add180fb,"{'BugID': 'ACCUMULO-217', 'Summary': ""MockAccumulo doesn't throw informative errors"", 'Description': 'Users are unable to tell if an error has occurred and whether it is due to unimplemented features in MockAccumulo.'}"
accumulo,bugs-dot-jar_ACCUMULO-218_15476a0d,"{'BugID': 'ACCUMULO-218', 'Summary': 'Mock Accumulo Inverts order of mutations w/ same timestamp', 'Description': 'Mock accumulo has different behavior than real accumulo when the same key is updated in the same millisecond.  The hidden in memory map counter in mock accumulo needs to sort descending.'}"
accumulo,bugs-dot-jar_ACCUMULO-218_3d55560a,"{'BugID': 'ACCUMULO-218', 'Summary': 'Mock Accumulo Inverts order of mutations w/ same timestamp', 'Description': 'Mock accumulo has different behavior than real accumulo when the same key is updated in the same millisecond.  The hidden in memory map counter in mock accumulo needs to sort descending.'}"
accumulo,bugs-dot-jar_ACCUMULO-2390_28294266,"{'BugID': 'ACCUMULO-2390', 'Summary': 'TraceProxy.trace should not throw InvocationTargetException', 'Description': ""In {{TraceProxy.trace}} there is the following code snippet:\n{code}\n        try {\n          return method.invoke(instance, args);\n        } catch (Throwable ex) {\n          ex.printStackTrace();\n          throw ex;\n        }\n{code}\nWhen this is an InvocationTargetException, it can really mess with the calling code's exception handling logic.""}"
accumulo,bugs-dot-jar_ACCUMULO-2487_f2920c26,"{'BugID': 'ACCUMULO-2487', 'Summary': 'Value implementation provides conflicting statements', 'Description': 'The javadoc for the no-arg constructor for {{Value}} states that it ""Creates a zero-size sequence."" However, the implementation of get will error in this case.\n{code}\npublic byte[] get() {\n    if (this.value == null) {\n      throw new IllegalStateException(""Uninitialized. Null constructor "" + ""called w/o accompanying readFields invocation"");\n    }\n{code}\n\nEither we need to change the javadoc to be more explicit or change the behaviour of various accessors in the class. I would consider both solutions to be breaking of the API contract since we are changing what clients can expect from us.'}"
accumulo,bugs-dot-jar_ACCUMULO-2494_0dc92ca1,"{'BugID': 'ACCUMULO-2494', 'Summary': 'Stat calculation of STDEV may be inaccurate', 'Description': 'The math is sound, but it is susceptible to rounding errors. We should address that.\n\nSee http://www.strchr.com/standard_deviation_in_one_pass and http://www.cs.berkeley.edu/~mhoemmen/cs194/Tutorials/variance.pdf'}"
accumulo,bugs-dot-jar_ACCUMULO-2520_a64151e6,"{'BugID': 'ACCUMULO-2520', 'Summary': 'Garbage collector deleted everything when given bad input', 'Description': 'Patch v3 of the upgrade from ACCUMULO-2145 had a test that did the following before upgrade.\n\n{noformat}\nroot@testUp> table !METADATA\nroot@testUp !METADATA> grant Table.WRITE -u root \nroot@testUp !METADATA> insert ~del testDel test valueTest\n{noformat}\n\nThis is a malformed delete entry.  Accumulo code should not delete such entries.  When the 1.5.1 garbage collector saw this it did the following.\n\n{noformat}\n2014-03-20 18:20:05,359 [gc.SimpleGarbageCollector] DEBUG: Deleting /accumuloTest/tables\n2014-03-20 18:20:05,359 [gc.SimpleGarbageCollector] DEBUG: Deleting /accumuloTest/tables/!0/default_tablet/F0000009.rf\n2014-03-20 18:20:05,360 [gc.SimpleGarbageCollector] DEBUG: Deleting /accumuloTest/tables/!0/table_info/F000000b.rf\n{noformat}\n\nGC should validate that delete entries are paths of the expected length.  I have confirmed this bug exist in 1.5.1.  I am assuming it exist in 1.4 and 1.6 branches.'}"
accumulo,bugs-dot-jar_ACCUMULO-2544_7ec60f1b,"{'BugID': 'ACCUMULO-2544', 'Summary': 'Incorrect boundry matching for MockTableOperations.deleteRows', 'Description': 'The api for deleteRows specifies: Delete rows between (start, end] but the current implementation for MockTableOperations.deleteRows is implemented as (start, end)\n\nHere is the failing test case\n\n{code:java}\npublic class TestDelete {\n  private static final String INSTANCE = ""mock"";\n  private static final String TABLE = ""foo"";\n  private static final String USER = ""user"";\n  private static final String PASS = ""password"";\n  private static final Authorizations AUTHS = new Authorizations();\n\n  @Test\n  public void testDelete() throws TableNotFoundException, AccumuloException,\n      AccumuloSecurityException, TableExistsException {\n\n    MockInstance mockAcc = new MockInstance(INSTANCE);\n    Connector conn = mockAcc.getConnector(USER, new PasswordToken(PASS));\n    conn.tableOperations().create(TABLE);\n    conn.securityOperations().grantTablePermission(USER, TABLE, TablePermission.READ);\n    conn.securityOperations().grantTablePermission(USER, TABLE, TablePermission.WRITE);\n\n    Mutation mut = new Mutation(""2"");\n    mut.put(""colfam"", ""colqual"", ""value"");\n    BatchWriter writer = conn.createBatchWriter(TABLE, new BatchWriterConfig());\n    writer.addMutation(mut);\n\n    Scanner scan = conn.createScanner(TABLE, AUTHS);\n    scan.setRange(new Range(""2"", ""2""));\n\n    assertEquals(1, countRecords(scan));\n    \n    // this should delete (1,2] \n    conn.tableOperations().deleteRows(TABLE, new Text(""1""), new Text(""2""));\n\n    scan = conn.createScanner(TABLE, AUTHS);\n    scan.setRange(new Range(""2"", ""2""));\n    \n    // this will fail if row 2 exists\n    assertEquals(0, countRecords(scan));\n  }\n\n  private int countRecords(Scanner scan) {\n    int cnt = 0;\n    for (Entry<Key, Value> entry : scan) {\n      cnt++;\n    }\n    scan.close();\n    return cnt;\n  }\n}\n{code}'}"
accumulo,bugs-dot-jar_ACCUMULO-2659_019edb16,"{'BugID': 'ACCUMULO-2659', 'Summary': 'Incompatible API changes in 1.6.0', 'Description': 'While examining API changes for 1.6.0 I noticed some non-deprecated methods were removed.  I am not sure how important these are, but technically these methods are in the public API.  Opening this issue to document what I found.\n\nI compared 1.6.0 to 1.5.0.\n\nIn ACCUMULO-1674 the following methods were removed\n\n{noformat}\npackage org.apache.accumulo.core.client.mapreduce.lib.util\nConfiguratorBase.getToken ( Class<?>, Configuration ) [static]  :  byte[ ]\nConfiguratorBase.getTokenClass ( Class<?> ,Configuration) [static]  :  String\n{noformat}\n\nIn ACCUMULO-391 the following method was removed\n\n{noformat}\npackage org.apache.accumulo.core.client.mapreduce.lib.util\nInputConfigurator.getTabletLocator ( Class<?>, Configuration ) [static]  : TabletLocator \n{noformat}\n\nIn ACCUMULO-391 the following method was removed and not properly fixed in ACCUMULO-2586\n\n{noformat}\naccumulo-core.jar, RangeInputSplit.class\npackage org.apache.accumulo.core.client.mapred\nInputFormatBase.RangeInputSplit.InputFormatBase.RangeInputSplit ( String table, Range range, String[ ] locations )\npackage org.apache.accumulo.core.client.mapreduce\nInputFormatBase.RangeInputSplit.InputFormatBase.RangeInputSplit ( String table, Range range, String[ ] locations ) \n{noformat}\n\n It seems like the following were removed in ACCUMULO-1854 \n\n{noformat}\npackage org.apache.accumulo.core.client.mapred\nInputFormatBase.RecordReaderBase<K.setupIterators (JobConf job, Scanner scanner )  :  void\npackage org.apache.accumulo.core.client.mapreduce\nInputFormatBase.RecordReaderBase<K.setupIterators (TaskAttemptContext context, Scanner scanner)  :  void\n{noformat}\n\nIn ACCUMULO-1018 the following method was removed\n\n{noformat}\npackage org.apache.accumulo.core.client\nMutationsRejectedException.MutationsRejectedException ( List, HashMap, Set, Collection, int cause, Throwable cvsList ) \n{noformat}'}"
accumulo,bugs-dot-jar_ACCUMULO-2671_17344890,"{'BugID': 'ACCUMULO-2671', 'Summary': 'BlockedOutputStream can hit a StackOverflowError', 'Description': 'This issue mostly came up after a resolution to ACCUMULO-2668 that allows a byte[] to be passed directly to the underlying stream from the NoFlushOutputStream.\n\nThe problem appears to be due to the BlockedOutputStream.write(byte[], int, int) implementation that recursively writes out blocks/buffers out. When the stream is passed a large mutation (128MB was sufficient to trigger the error for me), this will cause a StackOverflowError. \n\nThis is appears to be specifically with encryption at rest turned on.\n\nA simple fix would be to unroll the recursion.'}"
accumulo,bugs-dot-jar_ACCUMULO-2713_6138a80f,"{'BugID': 'ACCUMULO-2713', 'Summary': 'Instance secret written out with other configuration items to RFiles and WALogs when encryption is turned on', 'Description': 'The encryption at rest feature records configuration information in order to encrypted RFiles and WALogs so that if the configuration changes, the files can be read back.  The code that does this recording hovers up all the ""instance.*"" entries, and does not pick out the instance.secret as a special one not to write.  Thus the instance secret goes into each file in the clear, which is non-ideal to say the least.\n\nPatch forthcoming.'}"
